"DRXTS120.Code.or.Value","DRXTS120.Value.Description","DRXTS120.Count","DRXTS120.Cumulative","DRXTS120.Skip.to.Item"
"0 to 17.765","Range of Values",9701,9701,NA
".","Missing",776,10477,NA
