"FFQ0084A.Code.or.Value","FFQ0084A.Value.Description","FFQ0084A.Count","FFQ0084A.Cumulative","FFQ0084A.Skip.to.Item"
1,"Almost never or never",1133,1133,NA
2,"About 1/4 of the time",1428,2561,NA
3,"About 1/2 of the time",1410,3971,NA
4,"About 3/4 of the time",696,4667,NA
5,"Almost always or always",952,5619,NA
88,"Blank",394,6013,NA
99,"Error",0,6013,NA
