"DR1IPFAT.Code.or.Value","DR1IPFAT.Value.Description","DR1IPFAT.Count","DR1IPFAT.Cumulative","DR1IPFAT.Skip.to.Item"
"0 to 154.996","Range of Values",111710,111710,NA
".","Missing",973,112683,NA
