"DS1TFA.Code.or.Value","DS1TFA.Value.Description","DS1TFA.Count","DS1TFA.Cumulative","DS1TFA.Skip.to.Item"
"4 to 10000","Range of Values",1422,1422,NA
".","Missing",7282,8704,NA
