"DSQTVB12.Code.or.Value","DSQTVB12.Value.Description","DSQTVB12.Count","DSQTVB12.Cumulative","DSQTVB12.Skip.to.Item"
"0.04 to 10000","Range of Values",2571,2571,NA
".","Missing",6683,9254,NA
