"DR2IB12A.Code.or.Value","DR2IB12A.Value.Description","DR2IB12A.Count","DR2IB12A.Cumulative","DR2IB12A.Skip.to.Item"
"0 to 49.6","Range of Values",92726,92726,NA
".","Missing",774,93500,NA
