"DR2TPFAT.Code.or.Value","DR2TPFAT.Value.Description","DR2TPFAT.Count","DR2TPFAT.Cumulative","DR2TPFAT.Skip.to.Item"
"0 to 129.181","Range of Values",6502,6502,NA
".","Missing",2202,8704,NA
