"DS1ISUGR.Code.or.Value","DS1ISUGR.Value.Description","DS1ISUGR.Count","DS1ISUGR.Cumulative","DS1ISUGR.Skip.to.Item"
"0.3 to 36","Range of Values",575,575,NA
".","Missing",5493,6068,NA
