"DS2IVB1.Code.or.Value","DS2IVB1.Value.Description","DS2IVB1.Count","DS2IVB1.Cumulative","DS2IVB1.Skip.to.Item"
"0.02 to 250","Range of Values",1131,1131,NA
".","Missing",4645,5776,NA
