"DR1IM221.Code.or.Value","DR1IM221.Value.Description","DR1IM221.Count","DR1IM221.Cumulative","DR1IM221.Skip.to.Item"
"0 to 3.024","Range of Values",111710,111710,NA
".","Missing",973,112683,NA
