"DRD370S.Code.or.Value","DRD370S.Value.Description","DRD370S.Count","DRD370S.Cumulative","DRD370S.Skip.to.Item"
"1","Yes",61,61,""
"2","No",4277,4338,"DRD370T"
".","Missing",4366,8704,""
