"FFQ0103A.Code.or.Value","FFQ0103A.Value.Description","FFQ0103A.Count","FFQ0103A.Cumulative","FFQ0103A.Skip.to.Item"
1,"Almost never or never",3177,3177,NA
2,"About 1/4 of the time",554,3731,NA
3,"About 1/2 of the time",476,4207,NA
4,"About 3/4 of the time",178,4385,NA
5,"Almost always or always",300,4685,NA
88,"Blank",1327,6012,NA
99,"Error",1,6013,NA
