"DS1TPOTA.Code.or.Value","DS1TPOTA.Value.Description","DS1TPOTA.Count","DS1TPOTA.Cumulative","DS1TPOTA.Skip.to.Item"
"0.01 to 2340","Range of Values",620,620,NA
".","Missing",8084,8704,NA
