"DSQTSELE.Code.or.Value","DSQTSELE.Value.Description","DSQTSELE.Count","DSQTSELE.Cumulative","DSQTSELE.Skip.to.Item"
"0.02 to 2100","Range of Values",1287,1287,NA
".","Missing",7967,9254,NA
