"DSD128PP.Code.or.Value","DSD128PP.Value.Description","DSD128PP.Count","DSD128PP.Cumulative","DSD128PP.Skip.to.Item"
"50","FOR FLUID/WATER BALANCE",13,13,NA
".","Missing",9971,9984,NA
