"DR1TS180.Code.or.Value","DR1TS180.Value.Description","DR1TS180.Count","DR1TS180.Cumulative","DR1TS180.Skip.to.Item"
"0 to 47.049","Range of Values",7484,7484,NA
".","Missing",1220,8704,NA
