"DR2TS160.Code.or.Value","DR2TS160.Value.Description","DR2TS160.Count","DR2TS160.Cumulative","DR2TS160.Skip.to.Item"
"0 to 85.191","Range of Values",6502,6502,NA
".","Missing",2202,8704,NA
