"DS2TCHOL.Code.or.Value","DS2TCHOL.Value.Description","DS2TCHOL.Count","DS2TCHOL.Cumulative","DS2TCHOL.Skip.to.Item"
"2 to 250","Range of Values",284,284,NA
".","Missing",8420,8704,NA
