"DR2TPHOS.Code.or.Value","DR2TPHOS.Value.Description","DR2TPHOS.Count","DR2TPHOS.Cumulative","DR2TPHOS.Skip.to.Item"
"0 to 7168","Range of Values",6502,6502,NA
".","Missing",2202,8704,NA
