"DTQ180U.Code.or.Value","DTQ180U.Value.Description","DTQ180U.Count","DTQ180U.Cumulative","DTQ180U.Skip.to.Item"
"1","Day",458,458,NA
"2","Week",2617,3075,NA
"3","Month",3693,6768,NA
"7","Refused",3,6771,NA
"9","Don't know",12,6783,NA
".","Missing",1758,8541,NA
