"DTD040Q.Code.or.Value","DTD040Q.Value.Description","DTD040Q.Count","DTD040Q.Cumulative","DTD040Q.Skip.to.Item"
"0 to 80","Range of Values",7853,7853,NA
"777","Refused",3,7856,NA
"999","Don't know",5,7861,NA
".","Missing",680,8541,NA
