"DRQ350DQ.Code.or.Value","DRQ350DQ.Value.Description","DRQ350DQ.Count","DRQ350DQ.Cumulative","DRQ350DQ.Skip.to.Item"
"1 to 10","Range of Values",292,292,NA
".","Missing",8990,9282,NA
