"DSQ128NN.Code.or.Value","DSQ128NN.Value.Description","DSQ128NN.Count","DSQ128NN.Cumulative","DSQ128NN.Skip.to.Item"
"48","TO BUILD MUSCLE",258,258,NA
".","Missing",9726,9984,NA
