"DRQ370SQ.Code.or.Value","DRQ370SQ.Value.Description","DRQ370SQ.Count","DRQ370SQ.Cumulative","DRQ370SQ.Skip.to.Item"
"1 to 8","Range of Values",33,33,NA
".","Missing",9249,9282,NA
