"DR2TIRON.Code.or.Value","DR2TIRON.Value.Description","DR2TIRON.Count","DR2TIRON.Cumulative","DR2TIRON.Skip.to.Item"
"0 to 80.81","Range of Values",6502,6502,NA
".","Missing",2202,8704,NA
