"DR1IGRMS.Code.or.Value","DR1IGRMS.Value.Description","DR1IGRMS.Count","DR1IGRMS.Cumulative","DR1IGRMS.Skip.to.Item"
"0.04 to 15360","Range of Values",111710,111710,NA
".","Missing",973,112683,NA
