"DRXTP204.Code.or.Value","DRXTP204.Value.Description","DRXTP204.Count","DRXTP204.Cumulative","DRXTP204.Skip.to.Item"
"0 to 3.008","Range of Values",9701,9701,NA
".","Missing",776,10477,NA
