"DSQTZINC.Code.or.Value","DSQTZINC.Value.Description","DSQTZINC.Count","DSQTZINC.Cumulative","DSQTZINC.Skip.to.Item"
"0.0001 to 450","Range of Values",2164,2164,NA
".","Missing",7090,9254,NA
