"DS1ISODI.Code.or.Value","DS1ISODI.Value.Description","DS1ISODI.Count","DS1ISODI.Cumulative","DS1ISODI.Skip.to.Item"
"2 to 500","Range of Values",437,437,NA
".","Missing",5631,6068,NA
