"DTD220Q.Code.or.Value","DTD220Q.Value.Description","DTD220Q.Count","DTD220Q.Cumulative","DTD220Q.Skip.to.Item"
"0 to 62","Range of Values",7845,7845,NA
"777","Refused",3,7848,NA
"999","Don't know",6,7854,NA
".","Missing",687,8541,NA
