"DR2IFOLA.Code.or.Value","DR2IFOLA.Value.Description","DR2IFOLA.Count","DR2IFOLA.Cumulative","DR2IFOLA.Skip.to.Item"
"0 to 2853","Range of Values",92726,92726,NA
".","Missing",774,93500,NA
