"DRQSDT8.Code.or.Value","DRQSDT8.Value.Description","DRQSDT8.Count","DRQSDT8.Cumulative","DRQSDT8.Skip.to.Item"
"8","Weight gain/Muscle building diet",23,23,NA
".","Missing",8681,8704,NA
