"DR1ISUGR.Code.or.Value","DR1ISUGR.Value.Description","DR1ISUGR.Count","DR1ISUGR.Cumulative","DR1ISUGR.Skip.to.Item"
"0 to 690.23","Range of Values",111710,111710,NA
".","Missing",973,112683,NA
