"DBQ095Z.Code.or.Value","DBQ095Z.Value.Description","DBQ095Z.Count","DBQ095Z.Cumulative","DBQ095Z.Skip.to.Item"
"1","Ordinary salt [includes regular iodized salt, sea salt and seasoning salts made with regular salt]",4760,4760,""
"2","Lite salt",95,4855,""
"3","Salt substitute",67,4922,""
"4","Doesn't use or add salt products at the table",2697,7619,"DRQSPREP"
"91","Other",0,7619,""
"99","Don't know",109,7728,"DRQSPREP"
".","Missing",976,8704,""
