"DRD350K.Code.or.Value","DRD350K.Value.Description","DRD350K.Count","DRD350K.Cumulative","DRD350K.Skip.to.Item"
"1","Yes",0,0,NA
"2","No",3305,3305,NA
".","Missing",5399,8704,NA
