"DR1IS080.Code.or.Value","DR1IS080.Value.Description","DR1IS080.Count","DR1IS080.Cumulative","DR1IS080.Skip.to.Item"
"0 to 6.658","Range of Values",111710,111710,NA
".","Missing",973,112683,NA
