"DSQIPFAT.Code.or.Value","DSQIPFAT.Value.Description","DSQIPFAT.Count","DSQIPFAT.Cumulative","DSQIPFAT.Skip.to.Item"
"0.25 to 12","Range of Values",227,227,NA
".","Missing",9757,9984,NA
