"DR2IVB12.Code.or.Value","DR2IVB12.Value.Description","DR2IVB12.Count","DR2IVB12.Cumulative","DR2IVB12.Skip.to.Item"
"0 to 155.81","Range of Values",92726,92726,NA
".","Missing",774,93500,NA
