"DRXTVK.Code.or.Value","DRXTVK.Value.Description","DRXTVK.Count","DRXTVK.Cumulative","DRXTVK.Skip.to.Item"
"0 to 2976.3","Range of Values",9701,9701,NA
".","Missing",776,10477,NA
