"DRXIFF.Code.or.Value","DRXIFF.Value.Description","DRXIFF.Count","DRXIFF.Cumulative","DRXIFF.Skip.to.Item"
"0 to 1324","Range of Values",141931,141931,NA
".","Missing",1073,143004,NA
