"DRD370I.Code.or.Value","DRD370I.Value.Description","DRD370I.Count","DRD370I.Cumulative","DRD370I.Skip.to.Item"
"1","Yes",166,166,""
"2","No",4172,4338,"DRD370J"
".","Missing",4366,8704,""
