"DRD370LQ.Code.or.Value","DRD370LQ.Value.Description","DRD370LQ.Count","DRD370LQ.Cumulative","DRD370LQ.Skip.to.Item"
"1 to 12","Range of Values",22,22,NA
".","Missing",8682,8704,NA
