"DS2TCOPP.Code.or.Value","DS2TCOPP.Value.Description","DS2TCOPP.Count","DS2TCOPP.Cumulative","DS2TCOPP.Skip.to.Item"
"0.004 to 8.8","Range of Values",866,866,NA
".","Missing",7838,8704,NA
