"FFQ0136A.Code.or.Value","FFQ0136A.Value.Description","FFQ0136A.Count","FFQ0136A.Cumulative","FFQ0136A.Skip.to.Item"
1,"Almost never or never",2720,2720,NA
2,"About 1/4 of the time",422,3142,NA
3,"About 1/2 of the time",395,3537,NA
4,"About 3/4 of the time",187,3724,NA
5,"Almost always or always",664,4388,NA
88,"Blank",1623,6011,NA
99,"Error",2,6013,NA
