"DR2IM161.Code.or.Value","DR2IM161.Value.Description","DR2IM161.Count","DR2IM161.Cumulative","DR2IM161.Skip.to.Item"
"0 to 6.532","Range of Values",92726,92726,NA
".","Missing",774,93500,NA
