"FFQ0134A.Code.or.Value","FFQ0134A.Value.Description","FFQ0134A.Count","FFQ0134A.Cumulative","FFQ0134A.Skip.to.Item"
1,"Almost never or never",1912,1912,NA
2,"About 1/4 of the time",372,2284,NA
3,"About 1/2 of the time",443,2727,NA
4,"About 3/4 of the time",219,2946,NA
5,"Almost always or always",699,3645,NA
88,"Blank",2366,6011,NA
99,"Error",2,6013,NA
