"DR1TPROT.Code.or.Value","DR1TPROT.Value.Description","DR1TPROT.Count","DR1TPROT.Cumulative","DR1TPROT.Skip.to.Item"
"0 to 545.2","Range of Values",7484,7484,NA
".","Missing",1220,8704,NA
