"DR1IB12A.Code.or.Value","DR1IB12A.Value.Description","DR1IB12A.Count","DR1IB12A.Cumulative","DR1IB12A.Skip.to.Item"
"0 to 49.6","Range of Values",111710,111710,NA
".","Missing",973,112683,NA
