"DR1TNIAC.Code.or.Value","DR1TNIAC.Value.Description","DR1TNIAC.Count","DR1TNIAC.Cumulative","DR1TNIAC.Skip.to.Item"
"0 to 238.457","Range of Values",7484,7484,NA
".","Missing",1220,8704,NA
