"DR1TWSZ.Code.or.Value","DR1TWSZ.Value.Description","DR1TWSZ.Count","DR1TWSZ.Cumulative","DR1TWSZ.Skip.to.Item"
"1","Community supply",4517,4517,NA
"4","Don't drink tap water",2101,6618,NA
"91","Other",721,7339,NA
"99","Don't know",389,7728,NA
".","Missing",976,8704,NA
