"DRXTP225.Code.or.Value","DRXTP225.Value.Description","DRXTP225.Count","DRXTP225.Cumulative","DRXTP225.Skip.to.Item"
"0 to 2.427","Range of Values",9701,9701,NA
".","Missing",776,10477,NA
