"DSQTVB2.Code.or.Value","DSQTVB2.Value.Description","DSQTVB2.Count","DSQTVB2.Cumulative","DSQTVB2.Skip.to.Item"
"0.001 to 401.7","Range of Values",1667,1667,NA
".","Missing",7587,9254,NA
