"DRXTSFAT.Code.or.Value","DRXTSFAT.Value.Description","DRXTSFAT.Count","DRXTSFAT.Cumulative","DRXTSFAT.Skip.to.Item"
"0 to 227.896","Range of Values",9701,9701,NA
".","Missing",776,10477,NA
