"DSQTLYCO.Code.or.Value","DSQTLYCO.Value.Description","DSQTLYCO.Count","DSQTLYCO.Cumulative","DSQTLYCO.Skip.to.Item"
"8 to 30000","Range of Values",584,584,NA
".","Missing",8670,9254,NA
