"DR2IGRMS.Code.or.Value","DR2IGRMS.Value.Description","DR2IGRMS.Count","DR2IGRMS.Cumulative","DR2IGRMS.Skip.to.Item"
"0.06 to 9600","Range of Values",92726,92726,NA
".","Missing",774,93500,NA
