"DSQTVB6.Code.or.Value","DSQTVB6.Value.Description","DSQTVB6.Count","DSQTVB6.Cumulative","DSQTVB6.Skip.to.Item"
"0.02 to 500","Range of Values",2410,2410,NA
".","Missing",6844,9254,NA
