"DR1TMFAT.Code.or.Value","DR1TMFAT.Value.Description","DR1TMFAT.Count","DR1TMFAT.Cumulative","DR1TMFAT.Skip.to.Item"
"0 to 200.097","Range of Values",7484,7484,NA
".","Missing",1220,8704,NA
