"DR1_320.Code.or.Value","DR1_320.Value.Description","DR1_320.Count","DR1_320.Cumulative","DR1_320.Skip.to.Item"
"0 to 11159.2","Range of Values",9148,9148,NA
".","Missing",495,9643,NA
