"DRXTWATE.Code.or.Value","DRXTWATE.Value.Description","DRXTWATE.Count","DRXTWATE.Cumulative","DRXTWATE.Skip.to.Item"
"0 to 13879.31","Range of Values",8725,8725,NA
".","Missing",557,9282,NA
