"DR2IP225.Code.or.Value","DR2IP225.Value.Description","DR2IP225.Count","DR2IP225.Cumulative","DR2IP225.Skip.to.Item"
"0 to 1.012","Range of Values",92726,92726,NA
".","Missing",774,93500,NA
