"DRDCFF.Code.or.Value","DRDCFF.Value.Description","DRDCFF.Count","DRDCFF.Cumulative","DRDCFF.Skip.to.Item"
"0","Single component food",56969,56969,NA
"1","Combo food",70871,127840,NA
".","Missing",0,127840,NA
