"DRQ370FQ.Code.or.Value","DRQ370FQ.Value.Description","DRQ370FQ.Count","DRQ370FQ.Cumulative","DRQ370FQ.Skip.to.Item"
"1 to 20","Range of Values",319,319,NA
".","Missing",8963,9282,NA
