"DRD370PQ.Code.or.Value","DRD370PQ.Value.Description","DRD370PQ.Count","DRD370PQ.Cumulative","DRD370PQ.Skip.to.Item"
"1 to 8","Range of Values",6,6,NA
".","Missing",8698,8704,NA
