"DS2INIAC.Code.or.Value","DS2INIAC.Value.Description","DS2INIAC.Count","DS2INIAC.Cumulative","DS2INIAC.Skip.to.Item"
"0.3 to 1515","Range of Values",1257,1257,NA
".","Missing",4519,5776,NA
